id,content,timestamp,username,userdisplayname,userlocation,retweetCount,likeCount,language,cleaned_content,sentiment_scores,compound_score,sentiment
1658112992364331012,Ghanaian team getting ready to cook for one week to break #Hilda’s record 😂😂😂😂 #4kintinz #AllBeLie #100hrs 🇬🇭🇬🇭🇳🇬🇳🇬🇳🇬🔥😂😂 https://t.co/2TPJdNtCHc,2023-05-15 14:11:58+00:00,djpakorich,Richmond Pakorich Pokoo,"Accra, Ghana",1,8,en,Ghanaian team getting ready to cook for one week to break s record,"{'neg': 0.0, 'neu': 0.815, 'pos': 0.185, 'compound': 0.3612}",0.3612,Positive
1658112835979812866,"No man succeed in isolation...

We succeed with the help of others!
📌
#Hilda",2023-05-15 14:11:21+00:00,Irene80384456,Irene,"Abuja, Nigeria",0,1,en,No man succeed in isolation We succeed with the help of others,"{'neg': 0.233, 'neu': 0.333, 'pos': 0.433, 'compound': 0.6369}",0.6369,Positive
1658112830137065474,"Greatest IDAN

HILDA BASSEY

#Hilda #100hrs #guinessworldrecord https://t.co/YnpRTcda9M",2023-05-15 14:11:19+00:00,say_d_truth_2,Truth,,0,5,en,Greatest IDAN HILDA BASSEY,"{'neg': 0.0, 'neu': 0.417, 'pos': 0.583, 'compound': 0.6369}",0.6369,Positive
1658112825456312323,"Idan only falls for Hildan 😁😁😁
#Bigwiz #Mr president,#Sabinus #Tinubu #Hildabacicookathon #Hilda,#idan #portable#kizzdaniel
#davido #MothersDay #Buju #Rema #BurnaBoy #Wizkid #wandecoal #naira #nairamarley #omahlay https://t.co/KxsUEKTtcs",2023-05-15 14:11:18+00:00,SkLeqacy,Sk Leqacy,Nigeria,2,12,en,Idan only falls for Hildan president,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
1658112798772064261,"20mins into cooking and precious wan burn my house something wey Hilda do for 4days
#Hilda 
#HildaBacci https://t.co/vNtB61CQ8j",2023-05-15 14:11:12+00:00,Mustiano13,Peacemaker🌹,Lagos,1,4,en,20mins into cooking and precious wan burn my house something wey Hilda do for 4days,"{'neg': 0.0, 'neu': 0.791, 'pos': 0.209, 'compound': 0.5719}",0.5719,Positive
1658112739477184512,"Hey I’m Emmanuel
An expert web designer with vast years of experience designing top websites for companies and persons. #Hilda https://t.co/er2x6RavqV",2023-05-15 14:10:57+00:00,SugarBoyAdeola,Sugar Boy,Abuja,0,0,en,Hey Im Emmanuel An expert web designer with vast years of experience designing top websites for companies and persons,"{'neg': 0.0, 'neu': 0.909, 'pos': 0.091, 'compound': 0.2023}",0.2023,Positive
1658112684930347012,"Check out new work on my @Behance profile: ""eCommerce Landing Page/ Squeeze Page"" https://t.co/7sdHrXbHHV #キンプリミリオンおめでとう #CDTVライブライブ #ヘブンズ・ドアー #ルーヴル #岸辺露伴 #キミと似ているキャラクター #TJMP初披露 #TV初披露FANFARE_INI #Hilda",2023-05-15 14:10:44+00:00,emadshazzad,Emad Shazzad,"Chittagong, Bangladesh",0,0,en,Check out new work on my Behance profile eCommerce Landing Page Squeeze Page,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
1658112679825776645,"Hilda has been cooking for days to break guiness world record. 
But what about you, you have been cooking for months for a man that will break your heart. 🤣🤣🤣🤣

#guinessworldrecord #Hilda",2023-05-15 14:10:43+00:00,iamclemzy,Clemzy,Lagos,0,0,en,Hilda has been cooking for days to break guiness world record But what about you you have been cooking for months for a man that will break your heart,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
1658112619935408131,"Congrats to #Hilda for breaking the #guinessworldrecord for the longest cooking time. Courage to her as she attempts to set her record, in the next few hours. 🥳🙏🏽🤗
 #Hildabacicookathon https://t.co/p38rld8LYr",2023-05-15 14:10:29+00:00,RebaseAcademy,Rebase Academy,"Centre, Cameroon",1,3,en,Congrats to for breaking the for the longest cooking time Courage to her as she attempts to set her record in the next few hours,"{'neg': 0.0, 'neu': 0.777, 'pos': 0.223, 'compound': 0.765}",0.765,Positive
1658112515908182016,"@hildabacicooks 
Congratulations Hilda on becoming the new Guinness world record holder for the longest cooking time of 88hrs and counting...

The African continent is proud of you❤️
 #Hildabacicooks #hildacookathon #HildaBacci  #Hilda https://t.co/BmaihFQMMw",2023-05-15 14:10:04+00:00,prazzleinc,Prazzle,"Delaware, USA",0,0,en,hildabacicooks Congratulations Hilda on becoming the new Guinness world record holder for the longest cooking time of 88hrs and counting The African continent is proud of you,"{'neg': 0.0, 'neu': 0.781, 'pos': 0.219, 'compound': 0.7906}",0.7906,Positive
1658112465568247809,"Kindly vote 🗳 my bro, @artbayfolabi to WIN Mikano SUV car  
*STEP 1*
🔴 Click on the link to *like and comment* on the post 
https://t.co/PRw4NXsJZq
🔴 follow @mikanomotors 

#100hrs | #Hilda | Portable | Tobi Amusan | #Guinessbookofrecord | Murphy Afolabi https://t.co/lgeii4htSL",2023-05-15 14:09:52+00:00,scarcemc,ArtbyAfolabi,Nigeria,0,3,en,Kindly vote my bro artbayfolabi to WIN Mikano SUV car STEP 1 Click on the link to like and comment on the post follow mikanomotors Portable Tobi Amusan Murphy Afolabi,"{'neg': 0.0, 'neu': 0.718, 'pos': 0.282, 'compound': 0.8816}",0.8816,Positive
1658112436036161539,"And, you can't jump the order from God up to the team and want a family, friends, people, and nation to celebrate you! Stop playing and get serious with what you do! We all should learn from Hilda to break if not Guinness record we can break our own records, #hilda #100hrs",2023-05-15 14:09:45+00:00,iampraphael,Ajiboye Raphael Olabanji,Nigeria,0,0,en,And you cant jump the order from God up to the team and want a family friends people and nation to celebrate you Stop playing and get serious with what you do We all should learn from Hilda to break if not Guinness record we can break our own records,"{'neg': 0.061, 'neu': 0.73, 'pos': 0.209, 'compound': 0.8176}",0.8176,Positive
1658112121723318273,"Hilda was able to cook 93hours to break Guinness book records but you only here to show us your boobs and breast…..shame on you 🧐
#Hilda | #96hours | Black sheriff | https://t.co/t0e3zdeLa5",2023-05-15 14:08:30+00:00,mayormendoza_gh,sb mayor 🀄️🐉,"Kasoa, Ghana",0,5,en,Hilda was able to cook 93hours to break Guinness book records but you only here to show us your boobs and breastshame on you Black sheriff,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
1658112098822488069,"A winner is a dreamer who never gives up.
.
.
Dare to win!
@hildabacicookathon thank you for reminding us that whatever we set our heart to is achievable.
#winner #hilda #mondaymotivation #postoftheday #myfoodbyhilda #insurance #hildabacicookathon https://t.co/8BZ1C31Ll9",2023-05-15 14:08:25+00:00,ieiplcng,International energy Insurance Plc,"FF Tower,13/14 Ligali Ayorinde",0,2,en,A winner is a dreamer who never gives up Dare to win hildabacicookathon thank you for reminding us that whatever we set our heart to is achievable,"{'neg': 0.0, 'neu': 0.629, 'pos': 0.371, 'compound': 0.9081}",0.9081,Positive
1658111776611860491,"Check out new work on my @Behance profile: ""eCommerce Landing Page/ Squeeze Page"" https://t.co/LusmyGa6BR #キンプリミリオンおめでとう #CDTVライブライブ #ヘブンズ・ドアー #ルーヴル #岸辺露伴 #キミと似ているキャラクター #TJMP初披露 #TV初披露FANFARE_INI #Hilda",2023-05-15 14:07:08+00:00,emadshazzad,Emad Shazzad,"Chittagong, Bangladesh",0,0,en,Check out new work on my Behance profile eCommerce Landing Page Squeeze Page,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
1658111746307944455,"#Hilda #NewMusicAlert 
#lordwhen coming soon 💽🔜 https://t.co/lCicNoe7Wt",2023-05-15 14:07:01+00:00,Loverboipsp,Celestial Angeli 🧘,Cruise Nation Nigeria 💎 CNN,0,0,en,coming soon,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
